type,id,kenteken,gebaseerd_op,merk,model,uitvoering,kleur,bouwjaar,carrosserie,brandstof,transmissie,zitplaatsen,deuren,vermogen_pk,verbruik_l_100km,actieradius_km,co2_uitstoot_g_km,bagageruimte_liter,kilometerstand,aantal_vorige_eigenaren,conditie,aanschafprijs,airconditioning,cruise_control,apple_carplay_android_auto,navigatiesysteem,parkeersensoren_achter,achteruitrijcamera,stoelverwarming,led_koplampen,keyless_entry,lane_assist,parkeersensoren_voor,adaptive_cruise_control,trekhaak,elektrische_achterklep,panoramadak,camera_360_graden,aantal_opties,opties_lijst,afbeelding_pad
Nieuw,volkswagen-up!-move-001,HSN-42-J,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22140,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,False,8,"achteruitrijcamera, led koplampen, keyless entry, parkeersensoren voor, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_wit.jpg
Nieuw,volkswagen-up!-move-002,KFR-47-P,,Volkswagen,up!,Move,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23090,True,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,7,"navigatiesysteem, parkeersensoren achter, stoelverwarming, keyless entry, panoramadak, airconditioning, cruise control",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-003,LDJ-95-J,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22990,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,8,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, led koplampen, keyless entry, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_grijs-metallic_herkleurd.jpg
Nieuw,volkswagen-up!-move-004,DRR-97-W,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,24740,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, lane assist, trekhaak, elektrische achterklep, panoramadak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-005,GPH-88-B,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21040,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,5,"navigatiesysteem, achteruitrijcamera, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-006,JXJ-46-P,,Volkswagen,up!,Move,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23790,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,True,9,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, led koplampen, trekhaak, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-007,VSJ-11-S,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,25140,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,11,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, keyless entry, lane assist, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-008,CXB-13-H,,Volkswagen,up!,Move,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21940,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,8,"parkeersensoren achter, achteruitrijcamera, stoelverwarming, keyless entry, lane assist, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-009,NCC-97-W,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22940,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,8,"navigatiesysteem, achteruitrijcamera, led koplampen, keyless entry, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-010,TND-07-Z,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23040,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,7,"navigatiesysteem, led koplampen, keyless entry, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_grijs-metallic_herkleurd.jpg
