merk,model,kleur,status,bestand,bron_url,fotograaf,licentie
Audi,A1 Sportback,Zwart,ok,images/audi_a1-sportback_zwart.jpg,https://commons.wikimedia.org/wiki/File:Audi_A1_Sportback_GB_Mythos_Black_Metallic_(4).jpg,Damian B Oh,CC BY-SA 4.0
Audi,A1 Sportback,Wit,herkleurd,images/audi_a1-sportback_wit_herkleurd.jpg,https://commons.wikimedia.org/wiki/File:Audi_A1_Sportback_25_TFSI_GB_Manhattan_Grey_Metallic_(7).jpg,Damian B Oh,CC BY-SA 4.0
Audi,A1 Sportback,Grijs metallic,ok,images/audi_a1-sportback_grijs-metallic.jpg,https://commons.wikimedia.org/wiki/File:Audi_A1_Sportback_25_TFSI_GB_Manhattan_Grey_Metallic_(7).jpg,Damian B Oh,CC BY-SA 4.0
Audi,A1 Sportback,Zilver metallic,ok,images/audi_a1-sportback_zilver-metallic.jpg,https://commons.wikimedia.org/wiki/File:Audi_A1_Sportback_8X_FL_Floret_Silver_(6).jpg,Damian B Oh,CC BY-SA 4.0
Audi,A1 Sportback,Blauw metallic,missing,,,,
Audi,A1 Sportback,Rood metallic,missing,,,,
Audi,A1 Sportback,Groen metallic,missing,,,,
Audi,A1 Sportback,Bruin metallic,missing,,,,
Audi,A3 Sportback,Zwart,ok,images/audi_a3-sportback_zwart.jpg,https://commons.wikimedia.org/wiki/File:Audi_A3_Sportback_35_TFSI_Black_Edition_(2019)_(54537518428).jpg,"Charles from Port Chester, New York",CC BY 2.0
Audi,A3 Sportback,Wit,ok,images/audi_a3-sportback_wit.jpg,https://commons.wikimedia.org/wiki/File:Audi_A3_Sportback_e-tron_8V_Glacier_White_Metallic_(4).jpg,Damian B Oh,CC BY-SA 4.0
Audi,A3 Sportback,Grijs metallic,ok,images/audi_a3-sportback_grijs-metallic.jpg,https://commons.wikimedia.org/wiki/File:Audi_A3_Sportback_35_TFSI_S_Line_8Y_Manhattan_Grey_Metallic_(2).jpg,Damian B Oh,CC BY-SA 4.0
