type,id,gebaseerd_op,merk,model,uitvoering,kleur,bouwjaar,carrosserie,brandstof,transmissie,zitplaatsen,deuren,vermogen_pk,verbruik_l_100km,actieradius_km,bagageruimte_liter,kilometerstand,aantal_vorige_eigenaren,conditie,aanschafprijs,marge_percentage,airconditioning,cruise_control,apple_carplay_android_auto,navigatiesysteem,parkeersensoren_achter,achteruitrijcamera,stoelverwarming,led_koplampen,keyless_entry,lane_assist,parkeersensoren_voor,adaptive_cruise_control,trekhaak,elektrische_achterklep,panoramadak,camera_360_graden,aantal_opties,opties_lijst,lease_24m_10000km,lease_24m_15000km,lease_24m_20000km,lease_24m_25000km,lease_24m_30000km,lease_36m_10000km,lease_36m_15000km,lease_36m_20000km,lease_36m_25000km,lease_36m_30000km,lease_48m_10000km,lease_48m_15000km,lease_48m_20000km,lease_48m_25000km,lease_48m_30000km,lease_60m_10000km,lease_60m_15000km,lease_60m_20000km,lease_60m_25000km,lease_60m_30000km
Nieuw,volkswagen-up!-move-001,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,22740,5,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,9,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, keyless entry, airconditioning, cruise control, apple carplay android auto",410.03,424.96,439.88,454.8,469.72,388.15,403.07,417.99,432.93,447.85,377.21,392.14,407.06,421.98,436.91,370.65,385.58,400.5,415.42,430.34
Nieuw,volkswagen-up!-move-002,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,22440,5,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,7,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, led koplampen, airconditioning, cruise control, apple carplay android auto",406.58,421.3,436.03,450.75,465.49,384.7,399.43,414.15,428.88,443.6,373.77,388.49,403.22,417.94,432.67,367.21,381.93,396.66,411.38,426.11
Nieuw,volkswagen-up!-move-003,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,21540,5,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,7,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, lane assist, airconditioning, cruise control, apple carplay android auto",396.23,410.37,424.5,438.64,452.77,374.36,388.49,402.62,416.77,430.9,363.42,377.56,391.69,405.83,419.96,356.85,371.0,385.13,399.26,413.4
Nieuw,volkswagen-up!-move-004,,Volkswagen,up!,Move,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,24690,5,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,False,10,"navigatiesysteem, parkeersensoren achter, led koplampen, lane assist, adaptive cruise control, trekhaak, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",432.45,448.65,464.86,481.06,497.26,410.57,426.77,442.97,459.19,475.39,399.64,415.84,432.04,448.25,464.45,393.08,409.28,425.48,441.68,457.88
Nieuw,volkswagen-up!-move-005,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,23190,5,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,9,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, lane assist, trekhaak, airconditioning, cruise control, apple carplay android auto",415.2,430.42,445.64,460.86,476.08,393.33,408.54,423.76,438.98,454.2,382.39,397.6,412.83,428.04,443.27,375.83,391.04,406.27,421.48,436.71
Nieuw,volkswagen-up!-move-006,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,23140,5,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,8,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, keyless entry, lane assist, elektrische achterklep, camera 360 graden, airconditioning",414.62,429.82,445.0,460.18,475.37,392.75,407.94,423.12,438.31,453.5,381.81,397.01,412.19,427.37,442.55,375.25,390.44,405.63,420.81,435.99
Nieuw,volkswagen-up!-move-007,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,23190,5,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, keyless entry, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",415.2,430.42,445.64,460.86,476.08,393.33,408.54,423.76,438.98,454.2,382.39,397.6,412.83,428.04,443.27,375.83,391.04,406.27,421.48,436.71
Nieuw,volkswagen-up!-move-008,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,26340,5,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,True,12,"navigatiesysteem, parkeersensoren achter, stoelverwarming, led koplampen, keyless entry, lane assist, trekhaak, panoramadak, camera 360 graden, airconditioning, cruise control, apple carplay android auto",451.42,468.71,485.99,503.28,520.56,429.54,446.83,464.11,481.4,498.69,418.6,435.9,453.18,470.46,487.75,412.04,429.33,446.62,463.9,481.18
Nieuw,volkswagen-up!-move-009,,Volkswagen,up!,Move,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,20840,5,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,6,"achteruitrijcamera, keyless entry, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",388.19,401.86,415.54,429.21,442.89,366.3,379.98,393.66,407.34,421.01,355.37,369.04,382.73,396.4,410.08,348.81,362.48,376.16,389.83,403.52
Nieuw,volkswagen-up!-move-010,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,20990,5,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,6,"navigatiesysteem, parkeersensoren achter, lane assist, airconditioning, cruise control, apple carplay android auto",389.91,403.68,417.46,431.24,445.01,368.04,381.81,395.58,409.35,423.13,357.09,370.87,384.65,398.42,412.2,350.53,364.31,378.08,391.86,405.64
